epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
63,2474.37,0.79875,1.21454,1.17804,0.48571,0.65385,0.49754,0.37404,1.02117,1.56345,1.65652,0.0003862,0.0003862,0.0003862
64,2510.18,0.84142,1.20985,1.27552,0.51613,0.61538,0.54097,0.40803,1.08716,1.59478,1.69714,0.0003763,0.0003763,0.0003763
65,2545.98,0.84698,1.21527,1.22866,0.63169,0.53846,0.55912,0.41467,1.11008,1.62698,1.70819,0.0003664,0.0003664,0.0003664
66,2581.81,0.77102,1.14149,1.20054,0.59259,0.61538,0.5842,0.41661,1.09839,1.64018,1.66548,0.0003565,0.0003565,0.0003565
67,2617.87,0.86749,1.43025,1.27595,0.60677,0.46154,0.48267,0.31302,1.10675,1.72329,1.64677,0.0003466,0.0003466,0.0003466
68,2654.47,0.86762,1.17579,1.27173,0.54167,0.5,0.49886,0.33332,1.08339,1.70948,1.62202,0.0003367,0.0003367,0.0003367
69,2691.75,0.80012,1.08106,1.20229,0.5625,0.69231,0.5556,0.40247,0.96926,1.65416,1.54715,0.0003268,0.0003268,0.0003268
70,2728.07,0.79363,1.09492,1.21746,0.57385,0.69231,0.55715,0.42652,0.93053,1.58455,1.52323,0.0003169,0.0003169,0.0003169
71,2766.74,0.7903,1.07471,1.23229,0.51429,0.69231,0.54548,0.42448,0.93034,1.55422,1.5213,0.000307,0.000307,0.000307
72,2806.7,0.76134,1.17367,1.2362,0.51515,0.65385,0.51612,0.42313,0.89605,1.56025,1.50364,0.0002971,0.0002971,0.0002971
73,2842.73,0.82237,1.55977,1.21768,0.54395,0.53846,0.48458,0.39814,0.8816,1.51805,1.51643,0.0002872,0.0002872,0.0002872
74,2878.63,0.87682,1.17359,1.27291,0.51563,0.57692,0.47581,0.38476,0.88475,1.53373,1.54985,0.0002773,0.0002773,0.0002773
75,2914.38,0.86645,1.34556,1.23256,0.53571,0.57692,0.49662,0.39495,0.91464,1.56828,1.55879,0.0002674,0.0002674,0.0002674
76,2950.18,0.83554,1.17916,1.24587,0.51819,0.46154,0.44365,0.34415,0.88389,1.57228,1.52408,0.0002575,0.0002575,0.0002575
77,2986.15,0.73116,1.13231,1.16892,0.53072,0.46154,0.44899,0.35283,0.8818,1.61581,1.49573,0.0002476,0.0002476,0.0002476
78,3021.94,0.79562,1.14485,1.23121,0.54745,0.46154,0.4285,0.3366,0.87499,1.66427,1.49262,0.0002377,0.0002377,0.0002377
79,3057.77,0.73569,1.03521,1.18577,0.45455,0.57692,0.45017,0.36158,0.92944,1.68009,1.49506,0.0002278,0.0002278,0.0002278
80,3093.79,0.76265,1.03171,1.2041,0.47059,0.61538,0.46591,0.3681,0.95156,1.67715,1.4884,0.0002179,0.0002179,0.0002179
81,3130.02,0.7825,1.05053,1.22526,0.53259,0.61538,0.51757,0.39734,0.94183,1.70953,1.47533,0.000208,0.000208,0.000208
82,3165.99,0.79864,1.18026,1.19993,0.59995,0.53846,0.52233,0.40932,0.93496,1.71801,1.4961,0.0001981,0.0001981,0.0001981
83,3201.8,0.75605,1.05064,1.18709,0.60165,0.53846,0.51926,0.41593,0.92292,1.64759,1.52508,0.0001882,0.0001882,0.0001882
84,3237.56,0.75099,1.01585,1.20019,0.58333,0.53846,0.54052,0.41912,0.96131,1.62484,1.557,0.0001783,0.0001783,0.0001783
85,3273.39,0.69737,0.98768,1.17332,0.57143,0.46154,0.49985,0.38171,0.99073,1.67568,1.56922,0.0001684,0.0001684,0.0001684
86,3309.2,0.72584,1.04578,1.18402,0.5,0.42308,0.45371,0.35514,1.00994,1.74757,1.54294,0.0001585,0.0001585,0.0001585
87,3344.93,0.72238,1.07939,1.17426,0.5,0.42308,0.46497,0.36409,1.01102,1.79929,1.51642,0.0001486,0.0001486,0.0001486
88,3380.8,0.70416,0.97531,1.1704,0.5,0.42308,0.45174,0.35479,1.06126,1.76589,1.52796,0.0001387,0.0001387,0.0001387
