epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
124,12963.9,0.87592,0.87405,1.32764,0.856,0.83607,0.8771,0.61145,1.17962,0.87042,1.53544,0.0001882,0.0001882,0.0001882
125,13067.3,0.86023,0.86289,1.34509,0.80248,0.83254,0.87329,0.62673,1.16579,0.85182,1.51961,0.0001816,0.0001816,0.0001816
126,13170.5,0.86009,0.86268,1.35142,0.89913,0.78689,0.88643,0.63764,1.19263,0.84086,1.55041,0.000175,0.000175,0.000175
127,13273.4,0.85622,0.84873,1.3262,0.86316,0.81148,0.87722,0.63267,1.14679,0.85195,1.54463,0.0001684,0.0001684,0.0001684
128,13376.4,0.85919,0.86848,1.32126,0.80727,0.83607,0.88424,0.62535,1.19614,0.86316,1.58462,0.0001618,0.0001618,0.0001618
129,13479.6,0.86821,0.83174,1.31854,0.79508,0.86885,0.88223,0.65347,1.13474,0.86672,1.56845,0.0001552,0.0001552,0.0001552
130,13582.9,0.85384,0.85575,1.32051,0.82713,0.8628,0.90062,0.64751,1.13344,0.83789,1.53346,0.0001486,0.0001486,0.0001486
131,13686.6,0.87603,0.85032,1.34334,0.83277,0.83607,0.89374,0.61862,1.19615,0.85187,1.57215,0.000142,0.000142,0.000142
132,13789.7,0.84235,0.83256,1.30989,0.77015,0.86885,0.87994,0.62804,1.13832,0.86742,1.54454,0.0001354,0.0001354,0.0001354
133,13892.9,0.84924,0.84855,1.31352,0.85257,0.85246,0.89276,0.62732,1.16117,0.85943,1.53049,0.0001288,0.0001288,0.0001288
134,13996,0.84099,0.82362,1.33074,0.8117,0.86066,0.88795,0.63162,1.14433,0.88434,1.49289,0.0001222,0.0001222,0.0001222
135,14099.1,0.86133,0.83669,1.32837,0.83157,0.83607,0.88168,0.62847,1.14883,0.87272,1.49215,0.0001156,0.0001156,0.0001156
136,14203.9,0.832,0.82599,1.30147,0.8265,0.85246,0.88333,0.64215,1.12037,0.8763,1.49094,0.000109,0.000109,0.000109
137,14306.8,0.85201,0.83089,1.33113,0.79761,0.89344,0.89926,0.63677,1.15231,0.86253,1.49836,0.0001024,0.0001024,0.0001024
138,14409.7,0.8597,0.81459,1.32177,0.81229,0.87705,0.89897,0.65264,1.11919,0.83555,1.49441,9.58e-05,9.58e-05,9.58e-05
139,14512.7,0.84979,0.84262,1.32556,0.85859,0.84607,0.89625,0.6596,1.07522,0.84027,1.4865,8.92e-05,8.92e-05,8.92e-05
140,14615.7,0.79224,0.78372,1.28231,0.8227,0.8748,0.89755,0.64865,1.10703,0.84349,1.48995,8.26e-05,8.26e-05,8.26e-05
141,14717.4,0.72702,0.77275,1.3291,0.798,0.90671,0.90411,0.66621,1.0729,0.87394,1.47978,7.6e-05,7.6e-05,7.6e-05
142,14818.5,0.70308,0.714,1.3329,0.81399,0.87705,0.90435,0.66992,1.05955,0.87728,1.48729,6.94e-05,6.94e-05,6.94e-05
143,14919.9,0.69565,0.63292,1.32642,0.8447,0.86885,0.90439,0.67092,1.04261,0.85876,1.47597,6.28e-05,6.28e-05,6.28e-05
144,15021,0.68246,0.61588,1.30989,0.83492,0.82916,0.89705,0.66642,1.05826,0.84184,1.48896,5.62e-05,5.62e-05,5.62e-05
145,15122.2,0.64798,0.61385,1.3035,0.83255,0.85584,0.90192,0.66601,1.07999,0.84109,1.49219,4.96e-05,4.96e-05,4.96e-05
146,15223.3,0.67045,0.58495,1.2938,0.85434,0.81733,0.89762,0.66192,1.0772,0.85464,1.48851,4.3e-05,4.3e-05,4.3e-05
147,15324.7,0.64687,0.58066,1.26854,0.81928,0.85469,0.89718,0.66204,1.05989,0.8373,1.48847,3.64e-05,3.64e-05,3.64e-05
148,15425.9,0.66078,0.58704,1.28601,0.84533,0.86066,0.89743,0.66969,1.04761,0.82011,1.49091,2.98e-05,2.98e-05,2.98e-05
149,15527.3,0.65113,0.57872,1.27694,0.85837,0.84453,0.89957,0.66917,1.04771,0.81578,1.48415,2.32e-05,2.32e-05,2.32e-05
150,15628.8,0.66106,0.55668,1.28537,0.85288,0.85246,0.89993,0.66603,1.05094,0.8269,1.47784,1.66e-05,1.66e-05,1.66e-05
